epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.068,1.09781,1.02804,1.01794,0.45603,0.39282,0.38205,0.23314,1.16433,0.91067,1.05462,0.000277293,0.000277293,0.000277293
2,609.709,1.16503,0.89743,1.05924,0.51599,0.38798,0.42024,0.25896,1.17366,0.90153,1.06566,0.000550382,0.000550382,0.000550382
3,904.68,1.1754,0.89978,1.06377,0.47349,0.42639,0.3995,0.24627,1.18908,0.92245,1.0724,0.000818888,0.000818888,0.000818888
4,1199.08,1.16303,0.86533,1.06224,0.51258,0.39296,0.40192,0.24996,1.16741,0.88862,1.07132,0.000812383,0.000812383,0.000812383
5,1492.39,1.14405,0.84185,1.05159,0.55401,0.42404,0.44176,0.27529,1.16685,0.86536,1.05854,0.000805511,0.000805511,0.000805511
6,1787.51,1.11899,0.81441,1.04063,0.60742,0.43871,0.4624,0.28953,1.13411,0.83538,1.04842,0.000798639,0.000798639,0.000798639
7,2082.67,1.09493,0.79615,1.03127,0.53026,0.45437,0.46272,0.2927,1.09733,0.80265,1.02704,0.000791767,0.000791767,0.000791767
8,2376.66,1.08716,0.78272,1.02404,0.59539,0.45365,0.48484,0.3161,1.09862,0.7992,1.03468,0.000784894,0.000784894,0.000784894
9,2670.99,1.07524,0.77139,1.02068,0.57969,0.45883,0.48884,0.30637,1.0821,0.78782,1.02412,0.000778022,0.000778022,0.000778022
10,2963.05,1.06074,0.75956,1.0153,0.56884,0.44248,0.45979,0.29684,1.07117,0.7917,1.01862,0.00077115,0.00077115,0.00077115
11,3256.73,1.04784,0.74552,1.00885,0.56494,0.46514,0.48562,0.30812,1.07016,0.77801,1.02252,0.000764278,0.000764278,0.000764278
12,3550.97,1.03893,0.7329,1.00509,0.60391,0.48804,0.50611,0.32591,1.06009,0.76209,1.0167,0.000757405,0.000757405,0.000757405
13,3844.78,1.03577,0.72474,1.00183,0.61625,0.49536,0.52658,0.33577,1.05939,0.76087,1.01267,0.000750533,0.000750533,0.000750533
14,4137.95,1.0292,0.71865,0.99882,0.58982,0.49201,0.52523,0.33353,1.03723,0.74094,1.00454,0.000743661,0.000743661,0.000743661
15,4430.93,1.01458,0.70868,0.9913,0.62357,0.49623,0.5401,0.34945,1.04178,0.72946,1.00845,0.000736788,0.000736788,0.000736788
16,4723.85,1.01371,0.70316,0.98906,0.56758,0.50337,0.51616,0.33727,1.04941,0.75496,1.00734,0.000729916,0.000729916,0.000729916
17,5017.92,1.00608,0.69832,0.98811,0.64301,0.48765,0.5359,0.34671,1.02603,0.73102,1.00061,0.000723044,0.000723044,0.000723044
18,5311.34,0.99326,0.68862,0.98373,0.60539,0.48086,0.51619,0.33766,1.01713,0.74128,0.99605,0.000716172,0.000716172,0.000716172
19,5605.54,0.989,0.67972,0.98233,0.70377,0.48292,0.54923,0.36218,1.02005,0.72195,0.99751,0.000709299,0.000709299,0.000709299
20,5898.65,0.98683,0.68096,0.98243,0.63913,0.51504,0.54451,0.35374,1.01379,0.71979,0.99648,0.000702427,0.000702427,0.000702427
21,6192.74,0.97924,0.6707,0.97819,0.67368,0.50279,0.54992,0.36467,0.99528,0.71125,0.98627,0.000695555,0.000695555,0.000695555
22,6487.53,0.97405,0.66196,0.97301,0.67115,0.51153,0.56242,0.36959,0.99714,0.69765,0.98585,0.000688683,0.000688683,0.000688683
23,6781.74,0.96814,0.66079,0.97162,0.66177,0.5289,0.56806,0.36888,1.00168,0.69768,0.99047,0.00068181,0.00068181,0.00068181
24,7076.1,0.9696,0.66335,0.97076,0.6575,0.53358,0.57717,0.38061,0.99254,0.7051,0.98486,0.000674938,0.000674938,0.000674938
25,7370.7,0.96367,0.65225,0.9648,0.73198,0.51861,0.58639,0.3845,0.99039,0.69114,0.98507,0.000668066,0.000668066,0.000668066
26,7663.91,0.95765,0.64758,0.96681,0.71499,0.50749,0.5732,0.37569,0.9875,0.69045,0.98339,0.000661194,0.000661194,0.000661194
27,7957.52,0.95464,0.64294,0.96441,0.68603,0.52844,0.59163,0.38723,0.99802,0.68927,0.98853,0.000654321,0.000654321,0.000654321
28,8251.19,0.94389,0.63454,0.95809,0.67901,0.53128,0.57457,0.37886,0.98919,0.69155,0.98289,0.000647449,0.000647449,0.000647449
29,8546.76,0.94937,0.63577,0.95978,0.66455,0.52379,0.59087,0.38691,0.98037,0.68705,0.98202,0.000640577,0.000640577,0.000640577
30,8840.53,0.93478,0.62612,0.95633,0.70359,0.52853,0.59021,0.38456,0.98283,0.67788,0.98193,0.000633705,0.000633705,0.000633705
31,9134.34,0.93915,0.62933,0.9596,0.71022,0.53137,0.58823,0.38322,0.98257,0.68619,0.98283,0.000626832,0.000626832,0.000626832
32,9428.98,0.93085,0.62676,0.95539,0.68935,0.52702,0.5655,0.37268,0.97816,0.68349,0.98068,0.00061996,0.00061996,0.00061996
33,9722.81,0.92917,0.62001,0.95386,0.70873,0.52131,0.5933,0.39399,0.9794,0.6756,0.97855,0.000613088,0.000613088,0.000613088
34,10017.1,0.92167,0.61446,0.94968,0.65915,0.53906,0.58798,0.38485,0.97479,0.67576,0.97559,0.000606216,0.000606216,0.000606216
35,10310.3,0.91814,0.61081,0.94909,0.67384,0.53987,0.5842,0.38068,0.96771,0.67732,0.97545,0.000599343,0.000599343,0.000599343
36,10604,0.91267,0.605,0.94939,0.72184,0.5248,0.59848,0.39266,0.97033,0.67436,0.9753,0.000592471,0.000592471,0.000592471
37,10898.1,0.91659,0.60827,0.94752,0.72869,0.52398,0.58646,0.38923,0.97366,0.66788,0.97821,0.000585599,0.000585599,0.000585599
38,11191,0.90527,0.59827,0.94339,0.70646,0.53699,0.59342,0.38124,0.96822,0.67088,0.97321,0.000578727,0.000578727,0.000578727
39,11483.6,0.90619,0.60219,0.94414,0.70128,0.5546,0.6142,0.40344,0.96055,0.65807,0.97584,0.000571854,0.000571854,0.000571854
40,11775.5,0.897,0.59743,0.94086,0.70703,0.54743,0.60865,0.403,0.97166,0.66548,0.98299,0.000564982,0.000564982,0.000564982
41,12068.7,0.90112,0.58806,0.94135,0.71638,0.52973,0.60384,0.40431,0.95656,0.66216,0.97054,0.00055811,0.00055811,0.00055811
42,12362.2,0.89916,0.58922,0.94022,0.6639,0.53962,0.57168,0.38192,0.96007,0.66262,0.97289,0.000551238,0.000551238,0.000551238
43,12655.1,0.90337,0.59238,0.94129,0.7166,0.53488,0.58945,0.38494,0.95128,0.65436,0.9701,0.000544365,0.000544365,0.000544365
44,12948.5,0.88997,0.5828,0.93755,0.70432,0.55082,0.60184,0.40829,0.95175,0.65403,0.96831,0.000537493,0.000537493,0.000537493
45,13242,0.8914,0.58189,0.9371,0.68146,0.56382,0.59302,0.39481,0.96125,0.65254,0.9727,0.000530621,0.000530621,0.000530621
46,13536.1,0.88843,0.5782,0.93428,0.74269,0.52357,0.60664,0.40209,0.94723,0.65137,0.96812,0.000523749,0.000523749,0.000523749
47,13829.1,0.88321,0.57665,0.93196,0.70848,0.54424,0.61095,0.4083,0.94833,0.64681,0.96972,0.000516877,0.000516877,0.000516877
48,14122.6,0.87688,0.57625,0.93544,0.66099,0.5831,0.62195,0.40995,0.95889,0.64895,0.97422,0.000510004,0.000510004,0.000510004
49,14417.3,0.87663,0.56783,0.93229,0.72892,0.54339,0.61051,0.40643,0.95329,0.6442,0.9711,0.000503132,0.000503132,0.000503132
50,14710.6,0.87199,0.56417,0.92856,0.7102,0.54391,0.60088,0.40366,0.94915,0.65483,0.96755,0.00049626,0.00049626,0.00049626
51,15003.8,0.87054,0.56318,0.92619,0.71625,0.54748,0.60759,0.40773,0.95363,0.64632,0.96978,0.000489387,0.000489387,0.000489387
52,15296.6,0.86737,0.56068,0.9267,0.70582,0.55404,0.607,0.40635,0.9489,0.64174,0.97037,0.000482515,0.000482515,0.000482515
53,15589.2,0.86256,0.55625,0.92773,0.7354,0.54412,0.61794,0.40412,0.94826,0.64658,0.96965,0.000475643,0.000475643,0.000475643
54,15881.8,0.86257,0.55797,0.92807,0.70838,0.55339,0.61802,0.40732,0.94397,0.64202,0.96653,0.000468771,0.000468771,0.000468771
55,16175.2,0.85884,0.55456,0.92552,0.73198,0.54045,0.61708,0.41764,0.94686,0.63812,0.96833,0.000461898,0.000461898,0.000461898
56,16468.7,0.85704,0.55166,0.92313,0.71246,0.56738,0.62335,0.41881,0.94237,0.6387,0.96533,0.000455026,0.000455026,0.000455026
57,16762.5,0.84845,0.54523,0.92106,0.70997,0.56799,0.62115,0.41792,0.94805,0.63997,0.96921,0.000448154,0.000448154,0.000448154
58,17056.5,0.84991,0.54482,0.92016,0.70721,0.55626,0.61572,0.40587,0.94295,0.63578,0.96585,0.000441282,0.000441282,0.000441282
59,17350.5,0.84854,0.54533,0.92291,0.7292,0.55084,0.61922,0.40854,0.94617,0.63656,0.96942,0.000434409,0.000434409,0.000434409
60,17643.5,0.84639,0.54092,0.9192,0.69513,0.52631,0.60225,0.40436,0.94266,0.63511,0.96488,0.000427537,0.000427537,0.000427537
61,17938,0.83828,0.53422,0.91755,0.71731,0.54001,0.60229,0.40485,0.9374,0.63895,0.96566,0.000420665,0.000420665,0.000420665
62,18232.5,0.83798,0.53663,0.91507,0.75534,0.56676,0.62704,0.42008,0.93654,0.63406,0.96501,0.000413793,0.000413793,0.000413793
63,18526.3,0.83821,0.53565,0.91459,0.71915,0.54718,0.61389,0.41294,0.93169,0.62885,0.96335,0.00040692,0.00040692,0.00040692
64,18819.3,0.83541,0.53224,0.914,0.73797,0.56294,0.63574,0.4197,0.93594,0.63191,0.96547,0.000400048,0.000400048,0.000400048
65,19113.3,0.83393,0.52597,0.91413,0.69222,0.59195,0.63418,0.4212,0.93337,0.63872,0.9636,0.000393176,0.000393176,0.000393176
66,19407.4,0.83313,0.53115,0.9125,0.69433,0.57634,0.62789,0.41474,0.92704,0.62965,0.96059,0.000386304,0.000386304,0.000386304
67,19701.9,0.83106,0.52702,0.91256,0.69799,0.59009,0.62888,0.42885,0.92809,0.62706,0.96331,0.000379431,0.000379431,0.000379431
68,19996,0.81837,0.51742,0.90915,0.69683,0.5825,0.62293,0.41978,0.93371,0.62358,0.96523,0.000372559,0.000372559,0.000372559
