epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11681.8,0.91697,0.60034,0.94613,0.76594,0.50695,0.59976,0.39837,0.98448,0.67538,0.98106,0.000551238,0.000551238,0.000551238
43,11979.6,0.9152,0.60008,0.94454,0.7219,0.49731,0.59538,0.39794,0.97692,0.67213,0.9783,0.000544365,0.000544365,0.000544365
44,12275.2,0.90779,0.59907,0.9457,0.73709,0.5053,0.59601,0.3932,0.97614,0.67186,0.97531,0.000537493,0.000537493,0.000537493
45,12572.2,0.90457,0.59115,0.94143,0.72878,0.52308,0.60524,0.39906,0.97592,0.66557,0.97743,0.000530621,0.000530621,0.000530621
46,12868.2,0.90599,0.59015,0.9403,0.71306,0.51557,0.59261,0.38937,0.97438,0.66878,0.9776,0.000523749,0.000523749,0.000523749
47,13164.8,0.89973,0.58914,0.93753,0.74167,0.52826,0.61251,0.41568,0.96389,0.66932,0.97308,0.000516877,0.000516877,0.000516877
48,13460.6,0.89227,0.58581,0.94071,0.71426,0.52181,0.59462,0.39353,0.97109,0.665,0.97871,0.000510004,0.000510004,0.000510004
49,13757.6,0.89066,0.57798,0.93684,0.73405,0.53575,0.60763,0.40375,0.96445,0.66302,0.97209,0.000503132,0.000503132,0.000503132
50,14053.1,0.8896,0.5783,0.93517,0.72719,0.52229,0.60018,0.40448,0.96417,0.66421,0.97351,0.00049626,0.00049626,0.00049626
51,14348.9,0.88671,0.57674,0.93241,0.6973,0.54455,0.59462,0.38545,0.96257,0.65579,0.97452,0.000489387,0.000489387,0.000489387
52,14643.6,0.88529,0.57372,0.93302,0.76433,0.52429,0.60232,0.40006,0.96283,0.65941,0.97311,0.000482515,0.000482515,0.000482515
53,14939.3,0.87878,0.57039,0.93283,0.75408,0.52544,0.61145,0.40333,0.96808,0.66035,0.97677,0.000475643,0.000475643,0.000475643
54,15235.2,0.88115,0.57228,0.9346,0.69399,0.54426,0.60098,0.40132,0.97005,0.65629,0.97551,0.000468771,0.000468771,0.000468771
55,15529.8,0.87625,0.56848,0.93206,0.72718,0.52883,0.60477,0.4024,0.96621,0.65279,0.97443,0.000461898,0.000461898,0.000461898
56,15825.3,0.87746,0.56421,0.9298,0.74902,0.50801,0.60076,0.39325,0.97176,0.65788,0.97517,0.000455026,0.000455026,0.000455026
57,16121.1,0.86806,0.5589,0.92635,0.71608,0.54689,0.61858,0.40477,0.96984,0.65758,0.97683,0.000448154,0.000448154,0.000448154
58,16417,0.86778,0.55723,0.92646,0.71261,0.56371,0.61894,0.40419,0.95805,0.64595,0.97492,0.000441282,0.000441282,0.000441282
59,16712.8,0.86697,0.55414,0.92784,0.6769,0.56204,0.61105,0.39868,0.96149,0.64469,0.9761,0.000434409,0.000434409,0.000434409
60,17010.8,0.85989,0.55211,0.92349,0.71403,0.53552,0.60326,0.39462,0.96054,0.6501,0.97512,0.000427537,0.000427537,0.000427537
61,17306.5,0.85444,0.54363,0.92345,0.7279,0.53701,0.61455,0.40254,0.96038,0.64836,0.97362,0.000420665,0.000420665,0.000420665
62,17601.4,0.85457,0.54786,0.92063,0.72345,0.52757,0.60576,0.402,0.96077,0.64786,0.97542,0.000413793,0.000413793,0.000413793
63,17897.2,0.85281,0.54441,0.92054,0.71469,0.53477,0.60318,0.40809,0.96465,0.64887,0.97584,0.00040692,0.00040692,0.00040692
64,18193.7,0.85272,0.54282,0.92025,0.72912,0.53166,0.60435,0.40916,0.96085,0.64863,0.97709,0.000400048,0.000400048,0.000400048
65,18489.7,0.84701,0.53607,0.91823,0.6986,0.54359,0.61197,0.40062,0.96094,0.64806,0.97248,0.000393176,0.000393176,0.000393176
