epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.81,1.09864,1.02565,1.01994,0.54218,0.37652,0.41351,0.25926,1.15125,0.90577,1.04798,0.000277293,0.000277293,0.000277293
2,440.764,1.1716,0.90167,1.06425,0.5136,0.3912,0.41501,0.24712,1.20809,0.92778,1.07813,0.000550382,0.000550382,0.000550382
3,661.32,1.18194,0.9008,1.06671,0.5105,0.40206,0.41051,0.245,1.16051,0.90078,1.06433,0.000818888,0.000818888,0.000818888
4,884.475,1.15984,0.87089,1.05993,0.50007,0.39016,0.41333,0.25792,1.18909,0.89545,1.07252,0.000812383,0.000812383,0.000812383
5,1109.64,1.14624,0.84086,1.05104,0.57055,0.37058,0.41745,0.26071,1.17212,0.86301,1.06555,0.000805511,0.000805511,0.000805511
6,1338.21,1.12128,0.81497,1.0403,0.56312,0.41538,0.4423,0.27964,1.13949,0.84333,1.05167,0.000798639,0.000798639,0.000798639
7,1565.44,1.09911,0.7957,1.03322,0.61147,0.46467,0.46477,0.29454,1.11633,0.8411,1.03885,0.000791767,0.000791767,0.000791767
8,1795.9,1.09127,0.79166,1.02678,0.5397,0.49023,0.46674,0.30048,1.09598,0.80866,1.0314,0.000784894,0.000784894,0.000784894
9,2026.46,1.07436,0.77159,1.01851,0.57435,0.46101,0.48489,0.31215,1.06806,0.78526,1.01851,0.000778022,0.000778022,0.000778022
10,2254.46,1.06142,0.7618,1.01411,0.57421,0.4808,0.48745,0.31209,1.08703,0.78917,1.02675,0.00077115,0.00077115,0.00077115
11,2485.09,1.05463,0.74406,1.01158,0.64235,0.49229,0.52834,0.33008,1.08983,0.77816,1.02491,0.000764278,0.000764278,0.000764278
12,2716.37,1.04519,0.73605,1.00769,0.58528,0.49019,0.5051,0.32078,1.07168,0.77564,1.01971,0.000757405,0.000757405,0.000757405
13,2947.48,1.03668,0.72807,1.00129,0.62625,0.47299,0.50936,0.33182,1.05618,0.76598,1.01048,0.000750533,0.000750533,0.000750533
14,3177.67,1.02933,0.72339,0.998,0.59903,0.46506,0.50356,0.32049,1.06207,0.76575,1.01773,0.000743661,0.000743661,0.000743661
15,3408.13,1.01805,0.71231,0.9921,0.59522,0.48163,0.5092,0.32893,1.04755,0.74612,1.00827,0.000736788,0.000736788,0.000736788
16,3650.46,1.02079,0.70765,0.99227,0.57275,0.49371,0.50277,0.32774,1.04626,0.75106,1.00401,0.000729916,0.000729916,0.000729916
17,3882.45,1.00589,0.69866,0.98681,0.63976,0.48599,0.53689,0.35075,1.03258,0.7328,0.99783,0.000723044,0.000723044,0.000723044
18,4123.43,0.99362,0.68305,0.98426,0.634,0.46391,0.52409,0.34666,1.02463,0.74565,0.99972,0.000716172,0.000716172,0.000716172
19,4360,0.99194,0.68218,0.98081,0.7088,0.4829,0.55389,0.35509,1.01723,0.72053,0.99782,0.000709299,0.000709299,0.000709299
20,4593.43,0.99013,0.68363,0.98439,0.67266,0.47085,0.5518,0.35933,1.01888,0.73142,0.99702,0.000702427,0.000702427,0.000702427
21,4832.46,0.98504,0.67697,0.97899,0.63978,0.50208,0.54131,0.35007,1.01668,0.72297,0.99096,0.000695555,0.000695555,0.000695555
22,5070.85,0.97613,0.66563,0.97291,0.69654,0.51316,0.57255,0.36813,1.01485,0.70778,0.99222,0.000688683,0.000688683,0.000688683
23,5301.25,0.9682,0.66029,0.97052,0.62349,0.55291,0.57028,0.36948,1.00087,0.70132,0.99171,0.00068181,0.00068181,0.00068181
24,5531.75,0.96963,0.66216,0.9713,0.68032,0.48414,0.53901,0.35709,1.01093,0.71946,0.99379,0.000674938,0.000674938,0.000674938
25,5763.7,0.95945,0.64935,0.96155,0.68895,0.49123,0.55178,0.36442,1.00252,0.70259,0.98661,0.000668066,0.000668066,0.000668066
26,5992.72,0.96134,0.65365,0.96674,0.63634,0.50742,0.54651,0.36299,1.01126,0.71427,0.99218,0.000661194,0.000661194,0.000661194
27,6219.07,0.95822,0.64531,0.96506,0.68161,0.52033,0.57202,0.37501,0.9915,0.68913,0.98431,0.000654321,0.000654321,0.000654321
28,6446.03,0.94429,0.6375,0.95813,0.63535,0.5308,0.56687,0.37581,0.99416,0.69285,0.98769,0.000647449,0.000647449,0.000647449
29,6672.91,0.95647,0.63878,0.96294,0.68453,0.51198,0.58247,0.38361,0.98879,0.69525,0.98314,0.000640577,0.000640577,0.000640577
30,6899.96,0.93577,0.63079,0.9556,0.71011,0.5159,0.57708,0.3758,0.98754,0.69379,0.98434,0.000633705,0.000633705,0.000633705
31,7126.14,0.94057,0.63015,0.95963,0.70451,0.51,0.58177,0.37747,0.99365,0.6892,0.98832,0.000626832,0.000626832,0.000626832
32,7351.45,0.93778,0.62961,0.95792,0.69753,0.52803,0.57778,0.3815,0.97248,0.68216,0.97837,0.00061996,0.00061996,0.00061996
33,7577.07,0.93146,0.62018,0.95274,0.6935,0.52468,0.5823,0.37626,0.98602,0.68593,0.98155,0.000613088,0.000613088,0.000613088
34,7803.24,0.92811,0.61933,0.95079,0.69106,0.51041,0.57745,0.37738,0.9783,0.67872,0.97918,0.000606216,0.000606216,0.000606216
35,8029.52,0.91934,0.61216,0.94897,0.67698,0.51085,0.57231,0.38061,0.98225,0.6783,0.98121,0.000599343,0.000599343,0.000599343
36,8256.31,0.91825,0.61111,0.9515,0.72277,0.51761,0.58426,0.38292,0.97677,0.67335,0.9778,0.000592471,0.000592471,0.000592471
37,8484.88,0.92125,0.61212,0.94877,0.71132,0.5523,0.6024,0.39519,0.97456,0.66822,0.97578,0.000585599,0.000585599,0.000585599
38,8710.17,0.91089,0.60281,0.94361,0.7416,0.5195,0.59482,0.39185,0.97494,0.67453,0.97567,0.000578727,0.000578727,0.000578727
39,8934.5,0.90702,0.60143,0.94519,0.71493,0.51709,0.59846,0.39185,0.97227,0.66516,0.97648,0.000571854,0.000571854,0.000571854
40,9158.77,0.90402,0.59919,0.94145,0.6958,0.53174,0.59956,0.39761,0.96608,0.65963,0.97531,0.000564982,0.000564982,0.000564982
41,9383.08,0.90523,0.59167,0.94226,0.72251,0.53438,0.59899,0.39785,0.9606,0.6591,0.97208,0.00055811,0.00055811,0.00055811
42,9607.59,0.9033,0.59056,0.94009,0.68727,0.54607,0.60573,0.4022,0.96622,0.65908,0.9727,0.000551238,0.000551238,0.000551238
43,9832.02,0.90307,0.59252,0.93945,0.75143,0.53482,0.61509,0.4065,0.95626,0.65665,0.96971,0.000544365,0.000544365,0.000544365
44,10056.5,0.89125,0.58407,0.93765,0.74704,0.51949,0.61135,0.40526,0.96523,0.6574,0.97088,0.000537493,0.000537493,0.000537493
45,10280.5,0.89284,0.58445,0.93672,0.70452,0.54487,0.58763,0.39529,0.96137,0.65561,0.97233,0.000530621,0.000530621,0.000530621
46,10504.8,0.8953,0.58325,0.93651,0.72957,0.54793,0.60417,0.40125,0.95864,0.65692,0.97273,0.000523749,0.000523749,0.000523749
47,10729,0.89078,0.58253,0.93421,0.75997,0.52281,0.61835,0.41267,0.94655,0.65455,0.96754,0.000516877,0.000516877,0.000516877
48,10953,0.88017,0.57822,0.9372,0.74388,0.54288,0.62152,0.41049,0.95716,0.65021,0.97321,0.000510004,0.000510004,0.000510004
49,11177.7,0.87901,0.57107,0.93315,0.75471,0.52522,0.61609,0.40878,0.9421,0.64324,0.96498,0.000503132,0.000503132,0.000503132
50,11402.3,0.87327,0.56521,0.92878,0.7369,0.55189,0.61438,0.40385,0.95266,0.65045,0.9701,0.00049626,0.00049626,0.00049626
51,11626.6,0.87454,0.56794,0.92799,0.72438,0.56002,0.6222,0.40826,0.9468,0.64175,0.9666,0.000489387,0.000489387,0.000489387
52,11850.8,0.87169,0.56267,0.92799,0.74184,0.52686,0.60539,0.40463,0.94217,0.64408,0.96563,0.000482515,0.000482515,0.000482515
53,12074.4,0.86711,0.55869,0.9281,0.73106,0.55066,0.61907,0.40794,0.95423,0.64627,0.97427,0.000475643,0.000475643,0.000475643
54,12299,0.86555,0.55812,0.9288,0.73716,0.53815,0.61804,0.40847,0.94554,0.63957,0.96716,0.000468771,0.000468771,0.000468771
55,12523.1,0.86138,0.55749,0.92633,0.73511,0.53256,0.62032,0.41623,0.94459,0.64023,0.96812,0.000461898,0.000461898,0.000461898
56,12747.2,0.86034,0.55116,0.92308,0.70586,0.57026,0.63162,0.42486,0.94297,0.6351,0.97006,0.000455026,0.000455026,0.000455026
57,12971.6,0.85251,0.54888,0.92195,0.76723,0.54781,0.63183,0.4281,0.93673,0.63791,0.96415,0.000448154,0.000448154,0.000448154
58,13195.6,0.85077,0.54545,0.92014,0.73062,0.55983,0.62656,0.41692,0.94199,0.63999,0.96681,0.000441282,0.000441282,0.000441282
59,13419.3,0.853,0.54731,0.92209,0.72929,0.57429,0.63707,0.42867,0.94471,0.63382,0.969,0.000434409,0.000434409,0.000434409
60,13644.2,0.84698,0.54048,0.91878,0.71743,0.53831,0.60123,0.40299,0.93732,0.63997,0.96356,0.000427537,0.000427537,0.000427537
61,13867.9,0.84268,0.53791,0.91804,0.76901,0.53216,0.61921,0.41795,0.94463,0.64009,0.96696,0.000420665,0.000420665,0.000420665
62,14091.8,0.83929,0.53699,0.91514,0.76521,0.54824,0.6339,0.42789,0.93958,0.63171,0.96245,0.000413793,0.000413793,0.000413793
63,14316,0.8384,0.53531,0.91457,0.70276,0.5511,0.61181,0.41671,0.94045,0.63439,0.96699,0.00040692,0.00040692,0.00040692
64,14543.4,0.83678,0.53312,0.91568,0.72412,0.55245,0.62159,0.41031,0.93538,0.63583,0.96662,0.000400048,0.000400048,0.000400048
65,14770.5,0.83488,0.52548,0.91439,0.715,0.56742,0.63329,0.4249,0.9366,0.62935,0.9629,0.000393176,0.000393176,0.000393176
66,14998.8,0.83472,0.53101,0.91363,0.75438,0.54091,0.62171,0.42253,0.93856,0.63442,0.96295,0.000386304,0.000386304,0.000386304
67,15228.8,0.8336,0.53038,0.91439,0.76015,0.54735,0.62618,0.42698,0.93108,0.63603,0.96547,0.000379431,0.000379431,0.000379431
68,15459.3,0.82488,0.51972,0.91113,0.69192,0.57204,0.62889,0.42721,0.93495,0.62955,0.96626,0.000372559,0.000372559,0.000372559
